usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,fbclid,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,0.995,"[""0.610"",""0.346"",""0.921"",""0.963""]","[0,1,1,1]",0,54,54,54,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,4.671,"[""0.174"",""0.519"",""0.780"",""0.840""]","[1,1,1,0]",0,55,55,55,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,3.498,"[""0.111"",""0.307"",""0.457"",""0.027""]","[1,1,1,0]",0,56,56,56,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,3.56,"[""0.174"",""0.519"",""0.632"",""0.878""]","[1,1,0,1]",0,57,57,57,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,2.692,"[""0.627"",""0.411"",""0.574"",""0.689""]","[0,1,1,1]",0,58,58,58,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.232,"[""0.069"",""0.411"",""0.609"",""0.689""]","[1,1,0,1]",0,59,59,59,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.674,"[""0.174"",""0.652"",""0.780"",""0.878""]","[1,0,1,1]",0,60,60,60,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.304,"[""0.843"",""0.307"",""0.457"",""0.734""]","[0,1,1,1]",0,61,61,61,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,2.109,"[""0.233"",""0.519"",""0.780"",""0.878""]","[0,1,1,1]",0,62,62,62,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,1.851,"[""0.111"",""0.307"",""0.644"",""0.734""]","[1,1,0,1]",0,63,63,63,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0, ,,0,7.008622379,174.927,0,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,  ,,0,1.27669998,179.997,0,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,  ,,0,0,181.866,0,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,2,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,space,8.78,a,1,2.909,"[""0.174"",""0.519"",""0.627"",""0.878""]","[1,1,0,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.168,"[""0.069"",""0.844"",""0.574"",""0.689""]","[1,0,1,1]",0,1,1,1,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,2.484,"[""0.111"",""0.307"",""0.627"",""0.734""]","[1,1,0,1]",0,2,2,2,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,1.578,"[""0.111"",""0.843"",""0.457"",""0.734""]","[1,0,1,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,2.294,"[""0.272"",""0.346"",""0.921"",""0.652""]","[1,1,1,0]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.023,"[""0.638"",""0.307"",""0.457"",""0.734""]","[0,1,1,1]",0,5,5,5,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.04,"[""0.069"",""0.411"",""0.233"",""0.689""]","[1,1,0,1]",0,6,6,6,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,1.53,"[""0.174"",""0.519"",""0.780"",""0.644""]","[1,1,1,0]",0,7,7,7,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,1.538,"[""0.233"",""0.519"",""0.780"",""0.878""]","[0,1,1,1]",0,8,8,8,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.232,"[""0.069"",""0.411"",""0.574"",""0.229""]","[1,1,1,0]",0,9,9,9,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.002,"[""0.272"",""0.644"",""0.921"",""0.963""]","[1,0,1,1]",0,10,10,10,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.434,"[""0.174"",""0.644"",""0.780"",""0.878""]","[1,0,1,1]",0,11,11,11,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,2.474,"[""0.632"",""0.411"",""0.574"",""0.689""]","[0,1,1,1]",0,12,12,12,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.491,"[""0.272"",""0.346"",""0.652"",""0.963""]","[1,1,0,1]",0,13,13,13,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,1.57,"[""0.111"",""0.307"",""0.457"",""0.238""]","[1,1,1,0]",0,14,14,14,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,1.496,"[""0.843"",""0.346"",""0.921"",""0.963""]","[0,1,1,1]",0,15,15,15,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,1.503,"[""0.069"",""0.411"",""0.610"",""0.689""]","[1,1,0,1]",0,16,16,16,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,0.882,"[""0.610"",""0.411"",""0.574"",""0.689""]","[0,1,1,1]",0,17,17,17,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,2.348,"[""0.069"",""0.638"",""0.574"",""0.689""]","[1,0,1,1]",0,18,18,18,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,2.219,"[""0.652"",""0.519"",""0.780"",""0.878""]","[0,1,1,1]",0,19,19,19,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,1.67,"[""0.069"",""0.411"",""0.574"",""0.609""]","[1,1,1,0]",0,20,20,20,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,1.374,"[""0.272"",""0.346"",""0.027"",""0.963""]","[1,1,0,1]",0,21,21,21,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,1.547,"[""0.174"",""0.233"",""0.780"",""0.878""]","[1,0,1,1]",0,22,22,22,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.97,"[""0.229"",""0.307"",""0.457"",""0.734""]","[0,1,1,1]",0,23,23,23,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,0,1.067,"[""0.111"",""0.307"",""0.457"",""0.843""]","[1,1,1,0]",0,24,24,24,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.273,"[""0.272"",""0.840"",""0.921"",""0.963""]","[1,0,1,1]",0,25,25,25,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.405,"[""0.272"",""0.346"",""0.921"",""0.638""]","[1,1,1,0]",0,26,26,26,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.464,"[""0.174"",""0.519"",""0.623"",""0.878""]","[1,1,0,1]",0,27,27,27,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,0,2.563,"[""0.027"",""0.346"",""0.921"",""0.963""]","[0,1,1,1]",0,28,28,28,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,1.915,"[""0.111"",""0.307"",""0.627"",""0.734""]","[1,1,0,1]",0,29,29,29,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,a,1,1.92,"[""0.174"",""0.519"",""0.780"",""0.610""]","[1,1,1,0]",0,30,30,30,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f1b26dbd5dc042c9aedb7a4,627c6f73986a5daaea217e24,2022-05-12_04h24.30.882,classification_task,2021.2.3,Linux x86_64,60.0240096,627c6715c52fd12f31907bcf,IwAR2HEi3r7XBa59ZzBcJLB7ilHWTCbLLOEnevQh77NKOYGdbTYyjltkCW8P8,,,,,,,,,,,,,,,,,,,,,,,l,1,2.8,"[""0.111"",""0.238"",""0.457"",""0.734""]","[1,0,1,1]",0,31,31,31,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
