usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,trials.order
TRUE,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,"[[""0.205"",""0.422"",""0.622"",""0.880""],[""0.271"",""0.477"",""0.775"",""0.974""]]","[[""0.109"",""0.368"",""0.578"",""0.818""],[""0.153"",""0.310"",""0.511"",""0.711""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,League of Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,Do you have any form of color blindness?,,,0.7,0,No,46.1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,48.4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,space,88.1724,space,14.9199,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,space,16.1031,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,space,18.5528,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,space,32.9654,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,space,11.2675,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,space,14.113,,0,"[""0.109"",""0.674"",""0.578"",""0.818""]","[1,0,1,1]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.109"",""0.368"",""0.578"",""0.674""]","[1,1,1,0]",0,1,1,1,1,1,0,,,1,FALSE,4.1495,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.153"",""0.310"",""0.511"",""0.932""]","[1,1,1,0]",0,2,2,2,1,1,1,,,1,FALSE,7.8699,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.109"",""0.368"",""0.927"",""0.818""]","[1,1,0,1]",0,3,3,3,1,1,0,,,1,FALSE,5.5391,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.310"",""0.029"",""0.711""]","[1,1,0,1]",0,4,4,4,1,1,1,,,1,FALSE,8.9623,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.205"",""0.422"",""0.622"",""0.071""]","[1,1,1,0]",0,5,5,5,1,0,0,,,1,FALSE,7.393,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.027"",""0.775"",""0.974""]","[1,0,1,1]",0,6,6,6,1,0,1,,,1,FALSE,8.7111,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,,0,"[""0.205"",""0.422"",""0.674"",""0.880""]","[1,1,0,1]",0,7,7,7,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.477"",""0.775"",""0.920""]","[1,1,1,0]",0,8,8,8,1,0,1,,,1,FALSE,5.5807,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.932"",""0.368"",""0.578"",""0.818""]","[0,1,1,1]",0,9,9,9,1,1,0,,,1,FALSE,6.7853,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.477"",""0.932"",""0.974""]","[1,1,0,1]",0,10,10,10,1,0,1,,,1,FALSE,4.5115,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.674"",""0.477"",""0.775"",""0.974""]","[0,1,1,1]",0,11,11,11,1,0,1,,,1,FALSE,5.4857,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.205"",""0.658"",""0.622"",""0.880""]","[1,0,1,1]",0,12,12,12,1,0,0,,,1,FALSE,5.7398,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.917"",""0.511"",""0.711""]","[1,0,1,1]",0,13,13,13,1,1,1,,,1,FALSE,4.8198,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.071"",""0.310"",""0.511"",""0.711""]","[0,1,1,1]",0,14,14,14,1,1,1,,,1,FALSE,2.6948,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.917"",""0.422"",""0.622"",""0.880""]","[0,1,1,1]",0,15,15,15,1,0,0,,,1,FALSE,5.5675,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.934"",""0.511"",""0.711""]","[1,0,1,1]",0,16,16,16,1,1,1,,,1,FALSE,4.3287,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.477"",""0.775"",""0.676""]","[1,1,1,0]",0,17,17,17,1,0,1,,,1,FALSE,3.6318,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.109"",""0.368"",""0.927"",""0.818""]","[1,1,0,1]",0,18,18,18,1,1,0,,,1,FALSE,3.5731,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.205"",""0.422"",""0.622"",""0.029""]","[1,1,1,0]",0,19,19,19,1,0,0,,,1,FALSE,6.1196,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.310"",""0.676"",""0.711""]","[1,1,0,1]",0,20,20,20,1,1,1,,,1,FALSE,7.6014,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.310"",""0.511"",""0.038""]","[1,1,1,0]",0,21,21,21,1,1,1,,,1,FALSE,6.4587,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.205"",""0.422"",""0.937"",""0.880""]","[1,1,0,1]",0,22,22,22,1,0,0,,,1,FALSE,6.262,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.109"",""0.368"",""0.578"",""0.934""]","[1,1,1,0]",0,23,23,23,1,1,0,,,1,FALSE,2.8739,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.027"",""0.310"",""0.511"",""0.711""]","[0,1,1,1]",0,24,24,24,1,1,1,,,1,FALSE,5.7067,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.932"",""0.477"",""0.775"",""0.974""]","[0,1,1,1]",0,25,25,25,1,0,1,,,1,FALSE,3.6183,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.109"",""0.920"",""0.578"",""0.818""]","[1,0,1,1]",0,26,26,26,1,1,0,,,1,FALSE,3.9081,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.932"",""0.422"",""0.622"",""0.880""]","[0,1,1,1]",0,27,27,27,1,0,0,,,1,FALSE,4.1169,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.934"",""0.775"",""0.974""]","[1,0,1,1]",0,28,28,28,1,0,1,,,1,FALSE,4.5049,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.477"",""0.932"",""0.974""]","[1,1,0,1]",0,29,29,29,1,0,1,,,1,FALSE,4.9935,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.071"",""0.368"",""0.578"",""0.818""]","[0,1,1,1]",0,30,30,30,1,1,0,,,1,FALSE,6.2416,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.205"",""0.038"",""0.622"",""0.880""]","[1,0,1,1]",0,31,31,31,1,0,0,,,1,FALSE,4.6864,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.205"",""0.422"",""0.071"",""0.880""]","[1,1,0,1]",0,32,32,32,1,0,0,,,1,FALSE,7.4563,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.109"",""0.368"",""0.927"",""0.818""]","[1,1,0,1]",0,33,33,33,1,1,0,,,1,FALSE,8.7992,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.937"",""0.477"",""0.775"",""0.974""]","[0,1,1,1]",0,34,34,34,1,0,1,,,1,FALSE,3.5367,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.205"",""0.674"",""0.622"",""0.880""]","[1,0,1,1]",0,35,35,35,1,0,0,,,1,FALSE,6.3482,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.310"",""0.511"",""0.937""]","[1,1,1,0]",0,36,36,36,1,1,1,,,1,FALSE,4.6186,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.045"",""0.310"",""0.511"",""0.711""]","[0,1,1,1]",0,37,37,37,1,1,1,,,1,FALSE,3.1696,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.027"",""0.775"",""0.974""]","[1,0,1,1]",0,38,38,38,1,0,1,,,1,FALSE,1.7798,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.205"",""0.422"",""0.622"",""0.674""]","[1,1,1,0]",0,39,39,39,1,0,0,,,1,FALSE,2.5766,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.477"",""0.775"",""0.932""]","[1,1,1,0]",0,40,40,40,1,0,1,,,1,FALSE,3.7382,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.674"",""0.511"",""0.711""]","[1,0,1,1]",0,41,41,41,1,1,1,,,1,FALSE,2.0115,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.109"",""0.368"",""0.578"",""0.674""]","[1,1,1,0]",0,42,42,42,1,1,0,,,1,FALSE,2.2144,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.310"",""0.676"",""0.711""]","[1,1,0,1]",0,43,43,43,1,1,1,,,1,FALSE,4.9667,,,,,,,,,,,,,,
