usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
TRUE,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,"[[""0.263"",""0.391"",""0.921"",""0.966""],[""0.167"",""0.447"",""0.847"",""0.881""]]","[[""0.118"",""0.201"",""0.482"",""0.813""],[""0.054"",""0.332"",""0.520"",""0.741""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,NEED FOR SPEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Do you have any form of color blindness?,,,0.7,0,Yes,14202.4912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,14208.6424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,space,9.8458,space,2.9405,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,3.7302,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,0.8829,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,0.433,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,space,2.4802,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,space,1.4698,,0,"[""0.167"",""0.447"",""0.847"",""0.566""]","[1,1,1,0]",0,0,0,0,1,0,1,,,1,FALSE,,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.054"",""0.332"",""0.520"",""0.641""]","[1,1,1,0]",0,1,1,1,1,1,1,,,1,FALSE,2.6785,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.054"",""0.332"",""0.656"",""0.741""]","[1,1,0,1]",0,2,2,2,1,1,1,,,1,FALSE,7.6389,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.263"",""0.391"",""0.641"",""0.966""]","[1,1,0,1]",0,3,3,3,1,0,0,,,1,FALSE,1.2235,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.167"",""0.447"",""0.670"",""0.881""]","[1,1,0,1]",0,4,4,4,1,0,1,,,1,FALSE,0.8806,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.670"",""0.447"",""0.847"",""0.881""]","[0,1,1,1]",0,5,5,5,1,0,1,,,1,FALSE,1.8124,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.633"",""0.201"",""0.482"",""0.813""]","[0,1,1,1]",0,6,6,6,1,1,0,,,1,FALSE,0.4113,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.566"",""0.391"",""0.921"",""0.966""]","[0,1,1,1]",0,7,7,7,1,0,0,,,1,FALSE,0.7606,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.118"",""0.201"",""0.482"",""0.566""]","[1,1,1,0]",0,8,8,8,1,1,0,,,1,FALSE,0.2944,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.054"",""0.622"",""0.520"",""0.741""]","[1,0,1,1]",0,9,9,9,1,1,1,,,1,FALSE,0.4809,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.622"",""0.332"",""0.520"",""0.741""]","[0,1,1,1]",0,10,10,10,1,1,1,,,1,FALSE,1.0311,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.118"",""0.695"",""0.482"",""0.813""]","[1,0,1,1]",0,11,11,11,1,1,0,,,1,FALSE,0.6481,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.263"",""0.641"",""0.921"",""0.966""]","[1,0,1,1]",0,12,12,12,1,0,0,,,1,FALSE,0.35,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.263"",""0.391"",""0.921"",""0.626""]","[1,1,1,0]",0,13,13,13,1,0,0,,,1,FALSE,0.6949,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.167"",""0.695"",""0.847"",""0.881""]","[1,0,1,1]",0,14,14,14,1,0,1,,,1,FALSE,0.3614,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.118"",""0.201"",""0.695"",""0.813""]","[1,1,0,1]",0,15,15,15,1,1,0,,,1,FALSE,0.4138,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.054"",""0.332"",""0.520"",""0.557""]","[1,1,1,0]",0,16,16,16,1,1,1,,,1,FALSE,0.4792,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.054"",""0.332"",""0.679"",""0.741""]","[1,1,0,1]",0,17,17,17,1,1,1,,,1,FALSE,0.3319,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.118"",""0.201"",""0.482"",""0.641""]","[1,1,1,0]",0,18,18,18,1,1,0,,,1,FALSE,0.3597,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.641"",""0.391"",""0.921"",""0.966""]","[0,1,1,1]",0,19,19,19,1,0,0,,,1,FALSE,0.3293,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.167"",""0.447"",""0.847"",""0.571""]","[1,1,1,0]",0,20,20,20,1,0,1,,,1,FALSE,0.3151,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.695"",""0.447"",""0.847"",""0.881""]","[0,1,1,1]",0,21,21,21,1,0,1,,,1,FALSE,0.284,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.054"",""0.611"",""0.520"",""0.741""]","[1,0,1,1]",0,22,22,22,1,1,1,,,1,FALSE,0.2608,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.167"",""0.447"",""0.656"",""0.881""]","[1,1,0,1]",0,23,23,23,1,0,1,,,1,FALSE,0.4992,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.263"",""0.391"",""0.921"",""0.610""]","[1,1,1,0]",0,24,24,24,1,0,0,,,1,FALSE,0.3833,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.263"",""0.566"",""0.921"",""0.966""]","[1,0,1,1]",0,25,25,25,1,0,0,,,1,FALSE,0.3958,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.167"",""0.622"",""0.847"",""0.881""]","[1,0,1,1]",0,26,26,26,1,0,1,,,1,FALSE,0.3467,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.118"",""0.201"",""0.622"",""0.813""]","[1,1,0,1]",0,27,27,27,1,1,0,,,1,FALSE,0.2992,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.263"",""0.391"",""0.611"",""0.966""]","[1,1,0,1]",0,28,28,28,1,0,0,,,1,FALSE,0.2997,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.611"",""0.332"",""0.520"",""0.741""]","[0,1,1,1]",0,29,29,29,1,1,1,,,1,FALSE,0.4805,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.118"",""0.670"",""0.482"",""0.813""]","[1,0,1,1]",0,30,30,30,1,1,0,,,1,FALSE,0.9621,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.622"",""0.201"",""0.482"",""0.813""]","[0,1,1,1]",0,31,31,31,1,1,0,,,1,FALSE,2.9885,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.167"",""0.641"",""0.847"",""0.881""]","[1,0,1,1]",0,32,32,32,1,0,1,,,1,FALSE,0.4441,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.054"",""0.332"",""0.571"",""0.741""]","[1,1,0,1]",0,33,33,33,1,1,1,,,1,FALSE,0.5135,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.263"",""0.391"",""0.921"",""0.622""]","[1,1,1,0]",0,34,34,34,1,0,0,,,1,FALSE,0.4154,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.167"",""0.447"",""0.626"",""0.881""]","[1,1,0,1]",0,35,35,35,1,0,1,,,1,FALSE,0.3157,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.263"",""0.670"",""0.921"",""0.966""]","[1,0,1,1]",0,36,36,36,1,0,0,,,1,FALSE,0.2833,,,,,,,,,,,,,
,612ebbfbc8d323e04fcdbad9,001,2022-04-29_03h05.23.869,classification_task,2021.2.3,Win32,60.03842459,612ebbfbc8d323e04fcdbad9,626b377229c10585ec392f8a,626b399536ced6f9f0249f3f,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.263"",""0.391"",""0.612"",""0.966""]","[1,1,0,1]",0,37,37,37,1,0,0,,,1,FALSE,0.2827,,,,,,,,,,,,,
