usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
TRUE,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,"[[""0.165"",""0.511"",""0.885"",""0.969""],[""0.250"",""0.368"",""0.832"",""0.926""]]","[[""0.060"",""0.425"",""0.611"",""0.798""],[""0.123"",""0.286"",""0.673"",""0.732""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,Sims 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,29.9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,32.5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,49.905,space,9.1692,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,6.359,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,12.2636,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,11.8011,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,13.0211,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,17.6484,,0,"[""0.060"",""0.425"",""0.611"",""0.560""]","[1,1,1,0]",0,0,0,0,1,1,0,,,0,FALSE,,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.673"",""0.552""]","[1,1,1,0]",0,1,1,1,1,1,1,,,0,FALSE,2.5974,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.548"",""0.885"",""0.969""]","[1,0,1,1]",0,2,2,2,1,0,0,,,0,FALSE,2.8219,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.425"",""0.555"",""0.798""]","[1,1,0,1]",0,3,3,3,1,1,0,,,0,FALSE,3.0592,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.885"",""0.555""]","[1,1,1,0]",0,4,4,4,1,0,0,,,0,FALSE,1.905,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.319"",""0.425"",""0.611"",""0.798""]","[0,1,1,1]",0,5,5,5,1,1,0,,,0,FALSE,2.5507,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.557"",""0.511"",""0.885"",""0.969""]","[0,1,1,1]",0,6,6,6,1,0,0,,,0,FALSE,1.0219,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.464"",""0.969""]","[1,1,0,1]",0,7,7,7,1,0,0,,,0,FALSE,1.1516,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.319"",""0.611"",""0.798""]","[1,0,1,1]",0,8,8,8,1,1,0,,,0,FALSE,3.0606,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.200"",""0.832"",""0.926""]","[1,0,1,1]",0,9,9,9,1,0,1,,,0,FALSE,5.0113,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.575"",""0.673"",""0.732""]","[1,0,1,1]",0,10,10,10,1,1,1,,,0,FALSE,3.1286,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.464"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,11,11,11,1,1,1,,,0,FALSE,1.3805,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.368"",""0.464"",""0.926""]","[1,1,0,1]",0,12,12,12,1,0,1,,,0,FALSE,2.0877,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.832"",""0.330""]","[1,1,1,0]",0,13,13,13,1,0,1,,,0,FALSE,1.4528,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.199"",""0.732""]","[1,1,0,1]",0,14,14,14,1,1,1,,,0,FALSE,0.8119,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.560"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,15,15,15,1,0,1,,,0,FALSE,1.5861,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.204"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,16,16,16,1,1,1,,,0,FALSE,2.7008,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.368"",""0.832"",""0.464""]","[1,1,1,0]",0,17,17,17,1,0,1,,,0,FALSE,1.9995,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.557"",""0.425"",""0.611"",""0.798""]","[0,1,1,1]",0,18,18,18,1,1,0,,,0,FALSE,1.1133,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.552"",""0.511"",""0.885"",""0.969""]","[0,1,1,1]",0,19,19,19,1,0,0,,,0,FALSE,1.1096,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.557"",""0.611"",""0.798""]","[1,0,1,1]",0,20,20,20,1,1,0,,,0,FALSE,0.6585,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.319"",""0.732""]","[1,1,0,1]",0,21,21,21,1,1,1,,,0,FALSE,0.7365,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.575"",""0.926""]","[1,1,0,1]",0,22,22,22,1,0,1,,,0,FALSE,0.7588,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.425"",""0.330"",""0.798""]","[1,1,0,1]",0,23,23,23,1,1,0,,,0,FALSE,1.3174,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.123"",""0.286"",""0.673"",""0.463""]","[1,1,1,0]",0,24,24,24,1,1,1,,,0,FALSE,0.722,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.885"",""0.555""]","[1,1,1,0]",0,25,25,25,1,0,0,,,0,FALSE,0.8358,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.425"",""0.611"",""0.463""]","[1,1,1,0]",0,26,26,26,1,1,0,,,0,FALSE,0.6299,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.571"",""0.885"",""0.969""]","[1,0,1,1]",0,27,27,27,1,0,0,,,0,FALSE,0.421,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.555"",""0.969""]","[1,1,0,1]",0,28,28,28,1,0,0,,,0,FALSE,0.5618,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.319"",""0.832"",""0.926""]","[1,0,1,1]",0,29,29,29,1,0,1,,,0,FALSE,0.9559,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.463"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,30,30,30,1,0,1,,,0,FALSE,2.0081,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.123"",""0.330"",""0.673"",""0.732""]","[1,0,1,1]",0,31,31,31,1,1,1,,,0,FALSE,0.7348,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.330"",""0.673"",""0.732""]","[1,0,1,1]",0,32,32,32,1,1,1,,,0,FALSE,0.5963,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.885"",""0.463""]","[1,1,1,0]",0,33,33,33,1,0,0,,,0,FALSE,0.6728,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.574"",""0.885"",""0.969""]","[1,0,1,1]",0,34,34,34,1,0,0,,,0,FALSE,0.9563,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.330"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,35,35,35,1,0,1,,,0,FALSE,1.5751,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.560"",""0.611"",""0.798""]","[1,0,1,1]",0,36,36,36,1,1,0,,,0,FALSE,0.5342,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.200"",""0.511"",""0.885"",""0.969""]","[0,1,1,1]",0,37,37,37,1,0,0,,,0,FALSE,0.4914,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.425"",""0.611"",""0.560""]","[1,1,1,0]",0,38,38,38,1,1,0,,,0,FALSE,0.6103,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.425"",""0.200"",""0.798""]","[1,1,0,1]",0,39,39,39,1,1,0,,,0,FALSE,4.2026,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.548"",""0.425"",""0.611"",""0.798""]","[0,1,1,1]",0,40,40,40,1,1,0,,,0,FALSE,3.9776,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.204"",""0.969""]","[1,1,0,1]",0,41,41,41,1,0,0,,,0,FALSE,1.2619,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.832"",""0.464""]","[1,1,1,0]",0,42,42,42,1,0,1,,,0,FALSE,1.5365,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.123"",""0.286"",""0.548"",""0.732""]","[1,1,0,1]",0,43,43,43,1,1,1,,,0,FALSE,1.596,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.204"",""0.926""]","[1,1,0,1]",0,44,44,44,1,0,1,,,0,FALSE,0.6091,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.330"",""0.832"",""0.926""]","[1,0,1,1]",0,45,45,45,1,0,1,,,0,FALSE,0.6565,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.673"",""0.552""]","[1,1,1,0]",0,46,46,46,1,1,1,,,0,FALSE,0.3065,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.200"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,47,47,47,1,1,1,,,0,FALSE,0.6821,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.319"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,48,48,48,1,0,1,,,0,FALSE,0.5513,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.552"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,49,49,49,1,1,1,,,0,FALSE,0.7439,,,,,,,,,,,,,
